"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"R7","1","9m","","","","Capacitor_SMD:C_1206_3216Metric","~"
"R6","1","100kohm","","","","Capacitor_SMD:C_0603_1608Metric","~"
"R5","1","40.2kohm","","","","Capacitor_SMD:C_0603_1608Metric","~"
"R4","1","53.6Kohm","","","","Capacitor_SMD:C_0603_1608Metric","~"
"R3","1","24.3kohm","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R2","1","4.32kohm","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R1","1","10k","","","","Capacitor_SMD:C_0805_2012Metric","~"
"Q1,Q2","2","CSD18534Q5A","","","","CSD18534Q5A_:NEW","https://www.lcsc.com/datasheet/lcsc_datasheet_2410010301_Texas-Instruments-CSD18534Q5A_C115943.pdf"
"NT1","1","NetTie_2","","","","NetTie:NetTie-2_SMD_Pad0.5mm","~"
"LED1","1","~","","","","LTST-C150KRKT:LEDM3216X120N","https://optoelectronics.liteon.com/upload/download/DS-22-99-0149/LTST-C150KRKT.pdf"
"L1","1","5.6uH","","","","HC3-5R6-R:HC35R6R","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA11/2201201.pdf"
"J1,J2","2","Conn_01x02","","","","pad_footprint:Untitled","~"
"IC1","1","LM5148RGYR","","","","LM5148_:LM5148RGYR","https://www.ti.com/lit/ds/symlink/lm5148.pdf?ts=1680990210570&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLM5148"
"H1,H2,H3,H4","4","MountingHole","","","","MountingHole:MountingHole_2.1mm","~"
"C10,C11,C12,C13","4","47uf","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C8","1","2.2uf","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C7,C9","2","100nf","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6","1","33pf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5","1","4.7nf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C1,C2,C3,C4","4","4.7uf","","","","Capacitor_SMD:C_1210_3225Metric","~"
